"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","attempt_to_commit_murder","simple_hurt","grievous_hurt","aslt_on_adult_women","sexual_harassment","assault_on_women_with_intent_to_disrobe","voyeurism","stalking","assault_of_children","insult_to_the_modesty_of_women","kidnapping_and_abduction","rape","attempt_to_commit_rape","rioting","robbery","dacoity","arson","criminal_intimidation","other_ipc_crimes","sc_st_prevention_of_atrocities_act","protection_of_civil_rights_act","total_crime"
75,"2020-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"2020-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,"2020-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,"2019-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"2019-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"2019-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"2018-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"2018-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,"2018-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"2017-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,"2017-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,"2017-01-01","Himachal Pradesh","02","Shimla","023","Cyber",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,"2016-01-01","Himachal Pradesh","02","Shimla","023","CID",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
88,"2016-01-01","Himachal Pradesh","02","Shimla","023","GRP",0.0,0.0,"",0.0,"","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0
